symbol,date,timestamp,TotalRevenue,CostOfRevenue,GrossProfit,SellingGeneralAndAdministration,ResearchAndDevelopment,OtherOpEx,OperatingExpense,OperatingIncome,NetInterestIncome,OtherInc,PretaxIncome,TaxProvision,OtherAfterTaxEx,NetIncome,OtherStockholders,NetIncomeCommonStockholders,DilutedAverageShares,RevGrowth,GrossMargin,OpMargin,NetMargin,SG&A_Rev,R&D_Rev,OtherEx_Rev,EPS,DepreciationAndAmortization,OtherNonCashAdj,CashFlowFromContinuingOperatingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingFinancingActivities,ChangesInCash,OperatingCashFlow,CapitalExpenditure,FreeCashFlow,CFGrowth,CXChange,FCFGrowth,FCFMargin,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,Inventory,TotalNonCurrentAssets,NetPPE,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,CurrentDebtAndCapitalLeaseObligation,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,TotalEquityGrossMinorityInterest,CommonStockEquity,RetainedEarnings,NetDebt,TangibleAssets,CapitalEmployed,InvestedCapital,NCAV,Shares,D_E,AssetsGrowth,TAGrowth,EquityGrowth,ICGrowth,source,currency,market_cap
BAC-PB,2023-12-31,2026-02-05T06:11:39.556825+0000,98581000000,,,47715000000,,-47715000000,,,56931000000,-28589000000,28342000000,1827000000,0,26515000000,-1649000000,24866000000,7895457665,0.038241,,,0.252239,0.484018,,-0.484018,3.149406,2057000000,16410000000,44982000000,-35387000000,93345000000,102940000000,44982000000,,44982000000,,,,1.0,3180151000000,,341419000000,,,11855000000,2888505000000,,32098000000,,302204000000,291646000000,263249000000,224672000000,-7117000000,11855000000,3180151000000,291646000000,-2888505000000,7895457665,1.14626,0.042203,0.029974,0.075364,-0.138796,yahooquery,usd,mega_cap
BAC-PB,2024-12-31,2026-02-05T06:11:39.556825+0000,101887000000,,,49623000000,,-49623000000,,,56060000000,-26806000000,29254000000,2122000000,0,27132000000,-1629000000,25503000000,7610862311,0.033536,,,0.250307,0.48704,,-0.48704,3.350869,2189000000,-38126000000,-8805000000,-90693000000,60369000000,-39129000000,-8805000000,,-8805000000,,,,,3261519000000,,296486000000,,,12168000000,2965960000000,,43391000000,,283279000000,295559000000,272400000000,242349000000,30184000000,12168000000,3261519000000,325743000000,-2965960000000,7610862311,1.105262,0.025586,0.026402,0.034762,0.116912,yahooquery,usd,mega_cap
BAC-PE,2021-12-31,2026-02-05T06:11:39.556825+0000,89113000000,,,45049000000,,-45049000000,,,42934000000,-8958000000,33976000000,1998000000,0,31978000000,-1421000000,30557000000,8077831463,,,,0.342902,0.505527,,-0.505527,3.782822,1898000000,-41069000000,-7193000000,-313291000000,291650000000,-28834000000,-7193000000,,-7193000000,,,,,3169495000000,,355365000000,,,10833000000,2899429000000,,23753000000,,280117000000,270066000000,245358000000,188064000000,-51495000000,10833000000,3169495000000,270066000000,-2899429000000,8077831463,1.125169,,,,,yahooquery,usd,mega_cap
BAC-PE,2022-12-31,2026-02-05T06:11:39.556825+0000,94950000000,,,45946000000,,-45946000000,,,52462000000,-21493000000,30969000000,3441000000,0,27528000000,-1513000000,26015000000,7996777943,0.065501,,,0.273986,0.483897,,-0.483897,3.253185,1978000000,-35833000000,-6327000000,-2529000000,-106039000000,-114895000000,-6327000000,,-6327000000,-0.120395,,-0.120395,,3051375000000,,237462000000,,,11510000000,2778178000000,,26932000000,,275982000000,273197000000,244800000000,207003000000,65452000000,11510000000,3051375000000,338649000000,-2778178000000,7996777943,1.108775,-0.037268,0.062494,-0.002274,0.253949,yahooquery,usd,mega_cap
BAC-PE,2023-12-31,2026-02-05T06:11:39.556825+0000,98581000000,,,47715000000,,-47715000000,,,56931000000,-28589000000,28342000000,1827000000,0,26515000000,-1649000000,24866000000,7895457665,0.038241,,,0.252239,0.484018,,-0.484018,3.149406,2057000000,16410000000,44982000000,-35387000000,93345000000,102940000000,44982000000,,44982000000,,,,1.0,3180151000000,,341419000000,,,11855000000,2888505000000,,32098000000,,302204000000,291646000000,263249000000,224672000000,-7117000000,11855000000,3180151000000,291646000000,-2888505000000,7895457665,1.14626,0.042203,0.029974,0.075364,-0.138796,yahooquery,usd,mega_cap
BAC-PE,2024-12-31,2026-02-05T06:11:39.556825+0000,101887000000,,,49623000000,,-49623000000,,,56060000000,-26806000000,29254000000,2122000000,0,27132000000,-1629000000,25503000000,7610862311,0.033536,,,0.250307,0.48704,,-0.48704,3.350869,2189000000,-38126000000,-8805000000,-90693000000,60369000000,-39129000000,-8805000000,,-8805000000,,,,,3261519000000,,296486000000,,,12168000000,2965960000000,,43391000000,,283279000000,295559000000,272400000000,242349000000,30184000000,12168000000,3261519000000,325743000000,-2965960000000,7610862311,1.105262,0.025586,0.026402,0.034762,0.116912,yahooquery,usd,mega_cap
BAC-PK,2021-12-31,2026-02-05T06:11:39.556825+0000,89113000000,,,45049000000,,-45049000000,,,42934000000,-8958000000,33976000000,1998000000,0,31978000000,-1421000000,30557000000,8077831463,,,,0.342902,0.505527,,-0.505527,3.782822,1898000000,-41069000000,-7193000000,-313291000000,291650000000,-28834000000,-7193000000,,-7193000000,,,,,3169495000000,,355365000000,,,10833000000,2899429000000,,23753000000,,280117000000,270066000000,245358000000,188064000000,-51495000000,10833000000,3169495000000,270066000000,-2899429000000,8077831463,1.125169,,,,,yahooquery,usd,mega_cap
BAC-PK,2022-12-31,2026-02-05T06:11:39.556825+0000,94950000000,,,45946000000,,-45946000000,,,52462000000,-21493000000,30969000000,3441000000,0,27528000000,-1513000000,26015000000,7996777943,0.065501,,,0.273986,0.483897,,-0.483897,3.253185,1978000000,-35833000000,-6327000000,-2529000000,-106039000000,-114895000000,-6327000000,,-6327000000,-0.120395,,-0.120395,,3051375000000,,237462000000,,,11510000000,2778178000000,,26932000000,,275982000000,273197000000,244800000000,207003000000,65452000000,11510000000,3051375000000,338649000000,-2778178000000,7996777943,1.108775,-0.037268,0.062494,-0.002274,0.253949,yahooquery,usd,mega_cap
BAC-PK,2023-12-31,2026-02-05T06:11:39.556825+0000,98581000000,,,47715000000,,-47715000000,,,56931000000,-28589000000,28342000000,1827000000,0,26515000000,-1649000000,24866000000,7895457665,0.038241,,,0.252239,0.484018,,-0.484018,3.149406,2057000000,16410000000,44982000000,-35387000000,93345000000,102940000000,44982000000,,44982000000,,,,1.0,3180151000000,,341419000000,,,11855000000,2888505000000,,32098000000,,302204000000,291646000000,263249000000,224672000000,-7117000000,11855000000,3180151000000,291646000000,-2888505000000,7895457665,1.14626,0.042203,0.029974,0.075364,-0.138796,yahooquery,usd,mega_cap
BAC-PK,2024-12-31,2026-02-05T06:11:39.556825+0000,101887000000,,,49623000000,,-49623000000,,,56060000000,-26806000000,29254000000,2122000000,0,27132000000,-1629000000,25503000000,7610862311,0.033536,,,0.250307,0.48704,,-0.48704,3.350869,2189000000,-38126000000,-8805000000,-90693000000,60369000000,-39129000000,-8805000000,,-8805000000,,,,,3261519000000,,296486000000,,,12168000000,2965960000000,,43391000000,,283279000000,295559000000,272400000000,242349000000,30184000000,12168000000,3261519000000,325743000000,-2965960000000,7610862311,1.105262,0.025586,0.026402,0.034762,0.116912,yahooquery,usd,mega_cap
