,realtime_start,date,value
281,2013-07-31 00:00:00,1953-10-01 00:00:00,386.5
282,2017-10-27 00:00:00,1953-10-01 00:00:00,386.521
283,2018-07-27 00:00:00,1953-10-01 00:00:00,385.97
284,1992-12-22 00:00:00,1954-01-01 00:00:00,366.3
285,1996-01-19 00:00:00,1954-01-01 00:00:00,
286,1997-05-07 00:00:00,1954-01-01 00:00:00,376.4
287,1999-10-28 00:00:00,1954-01-01 00:00:00,
288,2000-04-27 00:00:00,1954-01-01 00:00:00,376.0
289,2003-12-10 00:00:00,1954-01-01 00:00:00,375.3
290,2009-07-31 00:00:00,1954-01-01 00:00:00,375.2
291,2013-07-31 00:00:00,1954-01-01 00:00:00,385.9
292,2017-10-27 00:00:00,1954-01-01 00:00:00,385.924
293,2018-07-27 00:00:00,1954-01-01 00:00:00,385.345
294,1992-12-22 00:00:00,1954-04-01 00:00:00,366.6
295,1996-01-19 00:00:00,1954-04-01 00:00:00,
296,1997-05-07 00:00:00,1954-04-01 00:00:00,376.9
297,1999-10-28 00:00:00,1954-04-01 00:00:00,
298,2000-04-27 00:00:00,1954-04-01 00:00:00,376.7
299,2003-12-10 00:00:00,1954-04-01 00:00:00,376.0
300,2013-07-31 00:00:00,1954-04-01 00:00:00,386.7
301,2017-10-27 00:00:00,1954-04-01 00:00:00,386.716
302,2018-07-27 00:00:00,1954-04-01 00:00:00,386.121
303,1992-12-22 00:00:00,1954-07-01 00:00:00,371.2
304,1996-01-19 00:00:00,1954-07-01 00:00:00,
305,1997-05-07 00:00:00,1954-07-01 00:00:00,381.7
306,1999-10-28 00:00:00,1954-07-01 00:00:00,
307,2000-04-27 00:00:00,1954-07-01 00:00:00,381.5
308,2003-12-10 00:00:00,1954-07-01 00:00:00,380.8
309,2013-07-31 00:00:00,1954-07-01 00:00:00,391.6
310,2017-10-27 00:00:00,1954-07-01 00:00:00,391.596
311,2018-07-27 00:00:00,1954-07-01 00:00:00,390.996
312,1992-12-22 00:00:00,1954-10-01 00:00:00,379.4
313,1996-01-19 00:00:00,1954-10-01 00:00:00,
314,1997-05-07 00:00:00,1954-10-01 00:00:00,390.1
315,1999-10-28 00:00:00,1954-10-01 00:00:00,
316,2000-04-27 00:00:00,1954-10-01 00:00:00,390.1
317,2003-12-10 00:00:00,1954-10-01 00:00:00,389.5
318,2009-07-31 00:00:00,1954-10-01 00:00:00,389.4
319,2013-07-31 00:00:00,1954-10-01 00:00:00,400.3
320,2017-10-27 00:00:00,1954-10-01 00:00:00,400.348
321,2018-07-27 00:00:00,1954-10-01 00:00:00,399.734
322,1992-12-22 00:00:00,1955-01-01 00:00:00,392.3
323,1996-01-19 00:00:00,1955-01-01 00:00:00,
324,1997-05-07 00:00:00,1955-01-01 00:00:00,402.9
325,1999-10-28 00:00:00,1955-01-01 00:00:00,
326,2000-04-27 00:00:00,1955-01-01 00:00:00,403.1
